,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,Dist,FK,PK,PKatt,Season,Team
34,2023-04-22,18:00,Serie A,Matchweek 31,Sat,Away,W,1,0,Lazio,0.6,0.6,47.0,50000.0,Ricardo Rodríguez,3-4-3,Davide Ghersini,Match Report,,7.0,3.0,16.4,0.0,0,0,2021,Torino
35,2023-04-29,20:45,Serie A,Matchweek 32,Sat,Home,L,1,2,Atalanta,0.3,0.5,62.0,20196.0,Ricardo Rodríguez,3-4-3,Juan Sacchi,Match Report,,4.0,4.0,20.3,0.0,0,0,2021,Torino
36,2023-05-03,18:00,Serie A,Matchweek 33,Wed,Away,W,2,0,Sampdoria,2.0,0.3,59.0,16865.0,Ricardo Rodríguez,3-4-3,Giacomo Camplone,Match Report,,12.0,4.0,14.1,1.0,0,0,2021,Torino
37,2023-05-07,15:00,Serie A,Matchweek 34,Sun,Home,D,1,1,Monza,0.9,0.9,53.0,19517.0,Ricardo Rodríguez,3-4-3,Luca Zufferli,Match Report,,14.0,5.0,15.6,0.0,0,0,2021,Torino
38,2023-05-14,12:30,Serie A,Matchweek 35,Sun,Away,W,1,0,Hellas Verona,1.8,0.5,58.0,19658.0,Ricardo Rodríguez,3-4-3,Marco Di Bello,Match Report,,15.0,7.0,13.4,0.0,0,0,2021,Torino
39,2023-05-21,15:00,Serie A,Matchweek 36,Sun,Home,D,1,1,Fiorentina,1.1,0.8,56.0,20403.0,Ricardo Rodríguez,3-4-3,Luca Massimi,Match Report,,10.0,4.0,14.5,0.0,0,0,2021,Torino
40,2023-05-27,15:00,Serie A,Matchweek 37,Sat,Away,W,4,0,Spezia,1.0,0.9,49.0,10776.0,Ricardo Rodríguez,3-4-3,Marco Guida,Match Report,,11.0,4.0,18.8,0.0,0,0,2021,Torino
41,2023-06-03,18:30,Serie A,Matchweek 38,Sat,Home,L,0,1,Inter,1.1,1.0,41.0,24528.0,Ricardo Rodríguez,3-4-3,Michael Fabbri,Match Report,,17.0,5.0,19.8,0.0,0,0,2021,Torino
1,2022-08-13,20:45,Serie A,Matchweek 1,Sat,Home,L,1,2,Torino,1.4,2.1,54.0,10739.0,Andrea Barberis,3-5-2,Maurizio Mariani,Match Report,,15.0,4.0,24.4,1.0,0,0,2021,Monza
2,2022-08-21,18:30,Serie A,Matchweek 2,Sun,Away,L,0,4,Napoli,0.1,2.0,46.0,36559.0,Andrea Barberis,3-5-2,Francesco Fourneau,Match Report,,4.0,1.0,23.9,0.0,0,0,2021,Monza
3,2022-08-26,18:30,Serie A,Matchweek 3,Fri,Home,L,1,2,Udinese,1.5,1.7,56.0,9955.0,Carlos,3-5-2,Marco Di Bello,Match Report,,10.0,5.0,14.0,0.0,0,0,2021,Monza
4,2022-08-30,20:45,Serie A,Matchweek 4,Tue,Away,L,0,3,Roma,0.9,1.8,60.0,60669.0,Matteo Pessina,3-5-2,Marco Piccinini,Match Report,,13.0,1.0,16.2,0.0,0,0,2021,Monza
5,2022-09-05,18:30,Serie A,Matchweek 5,Mon,Home,L,0,2,Atalanta,0.6,1.9,59.0,11970.0,Matteo Pessina,3-5-2,Juan Sacchi,Match Report,,10.0,3.0,19.7,0.0,0,0,2021,Monza
6,2022-09-11,15:00,Serie A,Matchweek 6,Sun,Away,D,1,1,Lecce,0.1,0.9,47.0,23391.0,Matteo Pessina,3-5-2,Luca Pairetto,Match Report,,2.0,1.0,19.5,1.0,0,0,2021,Monza
7,2022-09-18,15:00,Serie A,Matchweek 7,Sun,Home,W,1,0,Juventus,2.5,0.9,60.0,12878.0,Matteo Pessina,3-4-3,Fabio Maresca,Match Report,,17.0,4.0,18.6,0.0,0,0,2021,Monza
8,2022-10-02,15:00,Serie A,Matchweek 8,Sun,Away,W,3,0,Sampdoria,1.4,0.1,50.0,19806.0,Matteo Pessina,3-4-3,Giovanni Ayroldi,Match Report,,13.0,6.0,19.2,0.0,0,0,2021,Monza
9,2022-10-09,15:00,Serie A,Matchweek 9,Sun,Home,W,2,0,Spezia,0.7,0.5,47.0,12094.0,Matteo Pessina,3-4-3,Daniele Perenzoni,Match Report,,7.0,4.0,20.4,0.0,0,0,2021,Monza
10,2022-10-15,15:00,Serie A,Matchweek 10,Sat,Away,L,0,1,Empoli,1.3,1.8,64.0,7258.0,Matteo Pessina,3-4-3,Antonio Rapuano,Match Report,,16.0,4.0,18.7,2.0,0,0,2021,Monza
12,2022-10-22,18:00,Serie A,Matchweek 11,Sat,Away,L,1,4,Milan,1.2,1.1,51.0,72938.0,Matteo Pessina,3-4-3,Livio Marinelli,Match Report,,16.0,6.0,19.5,2.0,0,0,2021,Monza
13,2022-10-31,20:45,Serie A,Matchweek 12,Mon,Home,L,1,2,Bologna,1.2,1.3,56.0,11388.0,Matteo Pessina,3-4-1-2,Luca Pairetto,Match Report,,8.0,2.0,24.2,0.0,1,1,2021,Monza
14,2022-11-06,15:00,Serie A,Matchweek 13,Sun,Home,W,2,0,Hellas Verona,1.3,0.4,74.0,11723.0,Matteo Pessina,3-4-3,Francesco Cosso,Match Report,,14.0,3.0,18.8,0.0,0,0,2021,Monza
15,2022-11-10,20:45,Serie A,Matchweek 14,Thu,Away,L,0,1,Lazio,0.5,1.5,53.0,36000.0,Matteo Pessina,3-4-3,Alberto Santoro,Match Report,,8.0,0.0,20.9,0.0,0,0,2021,Monza
16,2022-11-13,15:00,Serie A,Matchweek 15,Sun,Home,W,3,0,Salernitana,2.4,0.2,57.0,12372.0,Matteo Pessina,3-4-3,Antonio Giua,Match Report,,18.0,6.0,15.2,0.0,1,1,2021,Monza
17,2023-01-04,18:30,Serie A,Matchweek 16,Wed,Away,D,1,1,Fiorentina,1.7,1.6,48.0,31190.0,Matteo Pessina,3-4-3,Ermanno Feliciani,Match Report,,10.0,3.0,12.6,0.0,0,0,2021,Monza
18,2023-01-07,20:45,Serie A,Matchweek 17,Sat,Home,D,2,2,Inter,1.5,1.7,54.0,13622.0,Matteo Pessina,3-4-3,Juan Sacchi,Match Report,,13.0,4.0,14.8,1.0,0,0,2021,Monza
19,2023-01-14,15:00,Serie A,Matchweek 18,Sat,Away,W,3,2,Cremonese,2.2,0.7,50.0,11519.0,Matteo Pessina,3-4-3,Davide Massa,Match Report,,7.0,2.0,13.3,0.0,1,1,2021,Monza
21,2023-01-22,15:00,Serie A,Matchweek 19,Sun,Home,D,1,1,Sassuolo,1.5,1.5,61.0,10200.0,Matteo Pessina,3-4-3,Alessandro Prontera,Match Report,,14.0,3.0,16.1,0.0,0,0,2021,Monza
22,2023-01-29,15:00,Serie A,Matchweek 20,Sun,Away,W,2,0,Juventus,1.2,1.6,54.0,39393.0,Matteo Pessina,3-4-3,Gianluca Aureliano,Match Report,,3.0,3.0,9.0,0.0,0,0,2021,Monza
23,2023-02-06,20:45,Serie A,Matchweek 21,Mon,Home,D,2,2,Sampdoria,2.1,1.2,72.0,11950.0,Matteo Pessina,3-4-3,Daniele Chiffi,Match Report,,16.0,4.0,16.8,0.0,1,1,2021,Monza
24,2023-02-12,15:00,Serie A,Matchweek 22,Sun,Away,W,1,0,Bologna,0.6,0.9,37.0,21692.0,Matteo Pessina,3-4-3,Luca Zufferli,Match Report,,5.0,4.0,22.8,0.0,0,0,2021,Monza
25,2023-02-18,18:00,Serie A,Matchweek 23,Sat,Home,L,0,1,Milan,0.5,2.1,59.0,14012.0,Matteo Pessina,3-4-3,Antonio Rapuano,Match Report,,11.0,5.0,18.1,1.0,0,0,2021,Monza
26,2023-02-26,15:00,Serie A,Matchweek 24,Sun,Away,L,0,3,Salernitana,1.4,2.4,62.0,14947.0,Matteo Pessina,3-4-3,Livio Marinelli,Match Report,,15.0,4.0,19.1,2.0,0,0,2021,Monza
27,2023-03-04,15:00,Serie A,Matchweek 25,Sat,Home,W,2,1,Empoli,0.7,1.0,43.0,10601.0,Matteo Pessina,3-4-3,Ermanno Feliciani,Match Report,,10.0,3.0,17.0,0.0,0,0,2021,Monza
28,2023-03-12,15:00,Serie A,Matchweek 26,Sun,Away,D,1,1,Hellas Verona,1.1,0.6,61.0,18061.0,Matteo Pessina,3-4-3,Marco Piccinini,Match Report,,9.0,3.0,17.1,0.0,0,0,2021,Monza
29,2023-03-18,15:00,Serie A,Matchweek 27,Sat,Home,D,1,1,Cremonese,2.0,0.7,65.0,12797.0,Matteo Pessina,3-1-4-2,Antonio Giua,Match Report,,15.0,7.0,15.7,0.0,0,0,2021,Monza
30,2023-04-02,15:00,Serie A,Matchweek 28,Sun,Home,L,0,2,Lazio,1.3,0.5,56.0,14539.0,Pablo Marí,3-4-3,Matteo Marcenaro,Match Report,,11.0,3.0,18.0,0.0,0,0,2021,Monza
31,2023-04-08,12:30,Serie A,Matchweek 29,Sat,Away,D,2,2,Udinese,1.1,1.8,59.0,22658.0,Matteo Pessina,3-4-3,Luca Massimi,Match Report,,12.0,5.0,18.7,1.0,0,0,2021,Monza
32,2023-04-15,20:45,Serie A,Matchweek 30,Sat,Away,W,1,0,Inter,0.7,2.1,44.0,74135.0,Matteo Pessina,3-4-3,Luca Pairetto,Match Report,,7.0,2.0,18.2,1.0,0,0,2021,Monza
33,2023-04-23,15:00,Serie A,Matchweek 31,Sun,Home,W,3,2,Fiorentina,1.5,1.3,45.0,13118.0,Matteo Pessina,3-4-3,Juan Sacchi,Match Report,,12.0,4.0,19.2,0.0,1,1,2021,Monza
34,2023-04-28,20:45,Serie A,Matchweek 32,Fri,Away,W,2,0,Spezia,0.9,1.7,54.0,9200.0,Matteo Pessina,3-4-3,Antonio Rapuano,Match Report,,8.0,4.0,18.2,0.0,0,0,2021,Monza
35,2023-05-03,21:00,Serie A,Matchweek 33,Wed,Home,D,1,1,Roma,0.9,1.0,58.0,12388.0,Matteo Pessina,3-4-3,Daniele Chiffi,Match Report,,8.0,4.0,13.9,0.0,0,0,2021,Monza
36,2023-05-07,15:00,Serie A,Matchweek 34,Sun,Away,D,1,1,Torino,0.9,0.9,47.0,19517.0,Matteo Pessina,3-4-3,Luca Zufferli,Match Report,,10.0,8.0,19.5,0.0,0,0,2021,Monza
37,2023-05-14,15:00,Serie A,Matchweek 35,Sun,Home,W,2,0,Napoli,1.3,1.1,45.0,14455.0,Matteo Pessina,3-4-1-2,Francesco Cosso,Match Report,,10.0,4.0,13.9,0.0,0,0,2021,Monza
38,2023-05-19,20:45,Serie A,Matchweek 36,Fri,Away,W,2,1,Sassuolo,1.6,1.6,56.0,11745.0,Matteo Pessina,3-4-3,Alberto Santoro,Match Report,,17.0,6.0,16.1,0.0,0,0,2021,Monza
39,2023-05-28,15:00,Serie A,Matchweek 37,Sun,Home,L,0,1,Lecce,1.1,1.2,73.0,15039.0,Matteo Pessina,3-4-1-2,Daniele Doveri,Match Report,,4.0,0.0,23.4,1.0,0,1,2021,Monza
40,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Away,L,2,5,Atalanta,1.2,4.0,61.0,19389.0,Matteo Pessina,3-4-3,Marco Di Bello,Match Report,,8.0,4.0,19.9,0.0,0,0,2021,Monza
1,2022-08-13,18:30,Serie A,Matchweek 1,Sat,Away,L,2,4,Milan,0.5,2.3,41.0,70197.0,Roberto Pereyra,3-5-2,Livio Marinelli,Match Report,,9.0,4.0,18.3,0.0,0,0,2021,Udinese
2,2022-08-20,18:30,Serie A,Matchweek 2,Sat,Home,D,0,0,Salernitana,1.1,1.5,48.0,17054.0,Roberto Pereyra,3-5-2,Gianluca Aureliano,Match Report,,15.0,2.0,16.3,1.0,0,0,2021,Udinese
3,2022-08-26,18:30,Serie A,Matchweek 3,Fri,Away,W,2,1,Monza,1.7,1.5,44.0,9955.0,Roberto Pereyra,3-5-2,Marco Di Bello,Match Report,,15.0,4.0,13.8,1.0,0,0,2021,Udinese
4,2022-08-31,18:30,Serie A,Matchweek 4,Wed,Home,W,1,0,Fiorentina,1.3,0.7,27.0,19684.0,Roberto Pereyra,3-5-2,Maurizio Mariani,Match Report,,8.0,3.0,18.0,0.0,0,0,2021,Udinese
5,2022-09-04,20:45,Serie A,Matchweek 5,Sun,Home,W,4,0,Roma,1.2,0.8,43.0,24108.0,Roberto Pereyra,3-5-2,Fabio Maresca,Match Report,,11.0,5.0,18.2,1.0,0,0,2021,Udinese
6,2022-09-11,15:00,Serie A,Matchweek 6,Sun,Away,W,3,1,Sassuolo,2.1,0.5,67.0,8694.0,Roberto Pereyra,3-5-2,Giacomo Camplone,Match Report,,17.0,4.0,18.8,2.0,0,0,2021,Udinese
7,2022-09-18,12:30,Serie A,Matchweek 7,Sun,Home,W,3,1,Inter,1.6,1.1,44.0,22475.0,Roberto Pereyra,3-5-2,Paolo Valeri,Match Report,,20.0,6.0,18.4,2.0,0,0,2021,Udinese
8,2022-10-03,20:45,Serie A,Matchweek 8,Mon,Away,W,2,1,Hellas Verona,1.8,0.3,68.0,15352.0,Roberto Pereyra,3-5-2,Daniele Minelli,Match Report,,21.0,8.0,17.9,0.0,0,0,2021,Udinese
9,2022-10-09,15:00,Serie A,Matchweek 9,Sun,Home,D,2,2,Atalanta,1.0,2.1,59.0,24671.0,Roberto Pereyra,3-5-2,Daniele Doveri,Match Report,,10.0,2.0,17.8,2.0,0,0,2021,Udinese
10,2022-10-16,15:00,Serie A,Matchweek 10,Sun,Away,D,0,0,Lazio,0.9,0.8,46.0,45000.0,Roberto Pereyra,3-5-2,Andrea Colombo,Match Report,,12.0,2.0,16.9,1.0,0,0,2021,Udinese
12,2022-10-23,12:30,Serie A,Matchweek 11,Sun,Home,L,1,2,Torino,2.0,1.5,56.0,20711.0,Roberto Pereyra,3-5-2,Matteo Marchetti,Match Report,,15.0,4.0,17.2,0.0,0,0,2021,Udinese
13,2022-10-30,15:00,Serie A,Matchweek 12,Sun,Away,D,0,0,Cremonese,1.0,0.7,58.0,12810.0,Roberto Pereyra,3-5-2,Massimiliano Irrati,Match Report,,13.0,3.0,18.5,1.0,0,0,2021,Udinese
14,2022-11-04,20:45,Serie A,Matchweek 13,Fri,Home,D,1,1,Lecce,1.7,0.7,57.0,21834.0,Roberto Pereyra,3-5-2,Francesco Fourneau,Match Report,,16.0,5.0,19.4,0.0,0,0,2021,Udinese
15,2022-11-08,18:30,Serie A,Matchweek 14,Tue,Away,D,1,1,Spezia,0.6,2.0,51.0,6900.0,Roberto Pereyra,3-5-2,Marco Piccinini,Match Report,,10.0,2.0,21.5,0.0,0,0,2021,Udinese
16,2022-11-12,15:00,Serie A,Matchweek 15,Sat,Away,L,2,3,Napoli,0.7,1.5,37.0,51000.0,Roberto Pereyra,3-5-2,Giovanni Ayroldi,Match Report,,10.0,4.0,19.6,1.0,0,0,2021,Udinese
17,2023-01-04,20:45,Serie A,Matchweek 16,Wed,Home,D,1,1,Empoli,1.9,0.4,60.0,19237.0,Roberto Pereyra,3-5-2,Marco Serra,Match Report,,21.0,3.0,19.9,1.0,0,0,2021,Udinese
18,2023-01-07,18:00,Serie A,Matchweek 17,Sat,Away,L,0,1,Juventus,0.5,2.4,49.0,39536.0,Roberto Pereyra,3-5-2,Matteo Marchetti,Match Report,,11.0,3.0,21.6,0.0,0,0,2021,Udinese
19,2023-01-15,15:00,Serie A,Matchweek 18,Sun,Home,L,1,2,Bologna,1.9,2.0,51.0,20486.0,Roberto Pereyra,3-5-2,Manuel Volpi,Match Report,,20.0,4.0,15.1,1.0,0,0,2021,Udinese
20,2023-01-22,12:30,Serie A,Matchweek 19,Sun,Away,W,1,0,Sampdoria,1.3,1.3,46.0,18642.0,Rodrigo Becão,3-5-2,Maurizio Mariani,Match Report,,14.0,5.0,16.2,1.0,0,0,2021,Udinese
21,2023-01-30,20:45,Serie A,Matchweek 20,Mon,Home,D,1,1,Hellas Verona,1.8,0.8,55.0,17276.0,Rodrigo Becão,3-5-2,Luca Pairetto,Match Report,,26.0,7.0,18.9,3.0,0,0,2021,Udinese
22,2023-02-05,15:00,Serie A,Matchweek 21,Sun,Away,L,0,1,Torino,0.5,1.7,44.0,16820.0,Rodrigo Becão,3-5-2,Alessandro Prontera,Match Report,,11.0,3.0,22.3,0.0,0,0,2021,Udinese
23,2023-02-12,12:30,Serie A,Matchweek 22,Sun,Home,D,2,2,Sassuolo,1.6,0.7,47.0,20912.0,Rodrigo Becão,3-5-1-1,Ivan Pezzuto,Match Report,,17.0,7.0,16.2,0.0,0,0,2021,Udinese
24,2023-02-18,20:45,Serie A,Matchweek 23,Sat,Away,L,1,3,Inter,0.8,2.7,41.0,71248.0,Roberto Pereyra,3-5-2,Federico Dionisi,Match Report,,9.0,1.0,19.0,0.0,0,0,2021,Udinese
25,2023-02-26,18:00,Serie A,Matchweek 24,Sun,Home,D,2,2,Spezia,2.5,2.5,49.0,20710.0,Roberto Pereyra,3-5-2,Matteo Marchetti,Match Report,,15.0,6.0,17.5,1.0,0,0,2021,Udinese
26,2023-03-04,18:00,Serie A,Matchweek 25,Sat,Away,D,0,0,Atalanta,0.3,1.4,33.0,18475.0,Rodrigo Becão,3-5-2,Davide Ghersini,Match Report,,5.0,1.0,17.6,0.0,0,0,2021,Udinese
27,2023-03-11,15:00,Serie A,Matchweek 26,Sat,Away,W,1,0,Empoli,1.4,1.2,39.0,7465.0,Roberto Pereyra,3-5-2,Francesco Cosso,Match Report,,14.0,3.0,14.9,1.0,0,0,2021,Udinese
28,2023-03-18,20:45,Serie A,Matchweek 27,Sat,Home,W,3,1,Milan,1.8,1.5,36.0,24992.0,Roberto Pereyra,3-5-2,Daniele Doveri,Match Report,,14.0,5.0,19.2,0.0,0,0,2021,Udinese
29,2023-04-02,12:30,Serie A,Matchweek 28,Sun,Away,L,0,3,Bologna,0.8,0.7,48.0,25562.0,Roberto Pereyra,3-5-2,Maria Sole Ferrieri Caputi,Match Report,,15.0,4.0,17.2,2.0,0,0,2021,Udinese
30,2023-04-08,12:30,Serie A,Matchweek 29,Sat,Home,D,2,2,Monza,1.8,1.1,41.0,22658.0,Rodrigo Becão,3-5-2,Luca Massimi,Match Report,,13.0,4.0,25.1,0.0,1,1,2021,Udinese
31,2023-04-16,20:45,Serie A,Matchweek 30,Sun,Away,L,0,3,Roma,1.2,2.5,58.0,61015.0,Rodrigo Becão,3-5-2,Antonio Giua,Match Report,,9.0,1.0,24.2,1.0,0,1,2021,Udinese
32,2023-04-23,15:00,Serie A,Matchweek 31,Sun,Home,W,3,0,Cremonese,1.6,0.9,48.0,23455.0,Roberto Pereyra,3-5-1-1,Francesco Fourneau,Match Report,,17.0,8.0,17.8,0.0,0,0,2021,Udinese
33,2023-04-28,18:30,Serie A,Matchweek 32,Fri,Away,L,0,1,Lecce,0.7,2.0,61.0,23069.0,Roberto Pereyra,3-5-1-1,Matteo Marchetti,Match Report,,10.0,3.0,16.0,0.0,0,0,2021,Udinese
34,2023-05-04,20:45,Serie A,Matchweek 33,Thu,Home,D,1,1,Napoli,0.3,0.5,36.0,24911.0,Roberto Pereyra,3-5-1-1,Rosario Abisso,Match Report,,7.0,3.0,20.1,0.0,0,0,2021,Udinese
35,2023-05-08,18:30,Serie A,Matchweek 34,Mon,Home,W,2,0,Sampdoria,1.0,0.9,46.0,20430.0,Roberto Pereyra,3-5-2,Niccolò Baroni,Match Report,,13.0,6.0,18.4,0.0,0,0,2021,Udinese
36,2023-05-14,15:00,Serie A,Matchweek 35,Sun,Away,L,0,2,Fiorentina,0.3,2.1,55.0,27383.0,Roberto Pereyra,3-5-1-1,Daniele Paterna,Match Report,,5.0,1.0,18.3,0.0,0,0,2021,Udinese
37,2023-05-21,20:45,Serie A,Matchweek 36,Sun,Home,L,0,1,Lazio,0.5,2.0,40.0,21834.0,Roberto Pereyra,3-5-1-1,Luca Pairetto,Match Report,,12.0,2.0,24.3,0.0,0,0,2021,Udinese
38,2023-05-27,15:00,Serie A,Matchweek 37,Sat,Away,L,2,3,Salernitana,2.3,1.2,52.0,27035.0,Roberto Pereyra,3-5-1-1,Niccolò Baroni,Match Report,,10.0,4.0,17.9,0.0,0,0,2021,Udinese
39,2023-06-04,21:00,Serie A,Matchweek 38,Sun,Home,L,0,1,Juventus,0.8,1.3,43.0,23266.0,Roberto Pereyra,3-4-3,Marco Guida,Match Report,,13.0,3.0,22.9,0.0,0,0,2021,Udinese
1,2022-08-15,20:45,Serie A,Matchweek 1,Mon,Away,L,0,3,Juventus,0.9,2.0,58.0,38725.0,Gian Marco Ferrari,4-3-3,Antonio Rapuano,Match Report,,19.0,7.0,23.5,0.0,0,0,2021,Sassuolo
2,2022-08-20,20:45,Serie A,Matchweek 2,Sat,Home,W,1,0,Lecce,0.6,0.5,59.0,9219.0,Gian Marco Ferrari,4-3-3,Andrea Colombo,Match Report,,12.0,3.0,20.7,2.0,0,0,2021,Sassuolo
3,2022-08-27,20:45,Serie A,Matchweek 3,Sat,Away,D,2,2,Spezia,2.8,1.2,57.0,6500.0,Gian Marco Ferrari,4-3-3,Francesco Cosso,Match Report,,21.0,8.0,13.2,0.0,0,0,2021,Sassuolo
4,2022-08-30,18:30,Serie A,Matchweek 4,Tue,Home,D,0,0,Milan,1.1,0.7,38.0,18053.0,Gian Marco Ferrari,4-3-3,Giovanni Ayroldi,Match Report,,7.0,2.0,21.2,0.0,0,1,2021,Sassuolo
5,2022-09-04,12:30,Serie A,Matchweek 5,Sun,Away,D,0,0,Cremonese,1.5,0.4,54.0,9105.0,Gian Marco Ferrari,4-3-3,Luca Pairetto,Match Report,,17.0,7.0,15.2,2.0,0,0,2021,Sassuolo
6,2022-09-11,15:00,Serie A,Matchweek 6,Sun,Home,L,1,3,Udinese,0.5,2.1,33.0,8694.0,Gian Marco Ferrari,4-3-3,Giacomo Camplone,Match Report,,5.0,2.0,17.5,1.0,0,0,2021,Sassuolo
7,2022-09-17,20:45,Serie A,Matchweek 7,Sat,Away,W,1,0,Torino,0.4,0.7,43.0,14822.0,Gian Marco Ferrari,4-3-3,Niccolò Baroni,Match Report,,10.0,5.0,19.9,1.0,0,0,2021,Sassuolo
8,2022-10-02,15:00,Serie A,Matchweek 8,Sun,Home,W,5,0,Salernitana,3.2,0.5,44.0,15786.0,Gian Marco Ferrari,4-3-3,Maria Sole Ferrieri Caputi,Match Report,,16.0,10.0,18.0,0.0,1,1,2021,Sassuolo
9,2022-10-08,15:00,Serie A,Matchweek 9,Sat,Home,L,1,2,Inter,1.2,2.3,52.0,17574.0,Gian Marco Ferrari,4-3-3,Simone Sozza,Match Report,,15.0,3.0,14.5,0.0,0,0,2021,Sassuolo
10,2022-10-15,20:45,Serie A,Matchweek 10,Sat,Away,L,1,2,Atalanta,0.8,2.5,52.0,17772.0,Gian Marco Ferrari,4-3-3,Matteo Marcenaro,Match Report,,11.0,3.0,16.8,0.0,0,0,2021,Sassuolo
11,2022-10-24,20:45,Serie A,Matchweek 11,Mon,Home,W,2,1,Hellas Verona,1.5,1.4,51.0,11368.0,Andrea Consigli,4-3-3,Alberto Santoro,Match Report,,14.0,3.0,15.3,1.0,0,0,2021,Sassuolo
12,2022-10-29,15:00,Serie A,Matchweek 12,Sat,Away,L,0,4,Napoli,1.0,2.1,33.0,45000.0,Gian Marco Ferrari,4-3-3,Antonio Rapuano,Match Report,,10.0,6.0,19.9,0.0,0,0,2021,Sassuolo
13,2022-11-05,15:00,Serie A,Matchweek 13,Sat,Away,L,0,1,Empoli,0.6,1.2,53.0,7834.0,Gian Marco Ferrari,4-3-3,Ermanno Feliciani,Match Report,,10.0,3.0,19.2,1.0,0,0,2021,Sassuolo
14,2022-11-09,18:30,Serie A,Matchweek 14,Wed,Home,D,1,1,Roma,1.2,0.7,46.0,16665.0,Gian Marco Ferrari,4-3-3,Giovanni Ayroldi,Match Report,,15.0,7.0,21.1,0.0,0,0,2021,Sassuolo
15,2022-11-12,20:45,Serie A,Matchweek 15,Sat,Away,L,0,3,Bologna,0.8,0.8,49.0,20811.0,Gian Marco Ferrari,4-3-3,Ivan Pezzuto,Match Report,,9.0,3.0,18.3,1.0,0,0,2021,Sassuolo
16,2023-01-04,12:30,Serie A,Matchweek 16,Wed,Home,L,1,2,Sampdoria,1.8,1.3,67.0,8000.0,Gian Marco Ferrari,4-3-3,Fabio Maresca,Match Report,,15.0,3.0,20.1,0.0,1,1,2021,Sassuolo
17,2023-01-07,15:00,Serie A,Matchweek 17,Sat,Away,L,1,2,Fiorentina,1.6,2.2,47.0,29695.0,Gian Marco Ferrari,4-3-3,Gianluca Manganiello,Match Report,,15.0,3.0,20.4,1.0,1,1,2021,Sassuolo
18,2023-01-15,12:30,Serie A,Matchweek 18,Sun,Home,L,0,2,Lazio,0.7,2.7,50.0,10000.0,Domenico Berardi,4-2-3-1,Luca Pairetto,Match Report,,12.0,2.0,16.2,0.0,0,0,2021,Sassuolo
19,2023-01-22,15:00,Serie A,Matchweek 19,Sun,Away,D,1,1,Monza,1.5,1.5,39.0,10200.0,Gian Marco Ferrari,4-2-3-1,Alessandro Prontera,Match Report,,13.0,1.0,19.6,0.0,0,0,2021,Sassuolo
20,2023-01-29,12:30,Serie A,Matchweek 20,Sun,Away,W,5,2,Milan,2.2,0.6,40.0,70428.0,Andrea Consigli,4-2-3-1,Antonio Giua,Match Report,,8.0,6.0,17.5,0.0,1,1,2021,Sassuolo
21,2023-02-04,20:45,Serie A,Matchweek 21,Sat,Home,W,1,0,Atalanta,1.3,0.5,53.0,12611.0,Andrea Consigli,4-3-3,Matteo Marcenaro,Match Report,,18.0,8.0,21.4,2.0,0,0,2021,Sassuolo
22,2023-02-12,12:30,Serie A,Matchweek 22,Sun,Away,D,2,2,Udinese,0.7,1.6,53.0,20912.0,Andrea Consigli,4-3-3,Ivan Pezzuto,Match Report,,6.0,1.0,13.4,0.0,0,0,2021,Sassuolo
23,2023-02-17,20:45,Serie A,Matchweek 23,Fri,Home,L,0,2,Napoli,0.8,1.6,40.0,15911.0,Andrea Consigli,4-3-3,Andrea Colombo,Match Report,,11.0,2.0,16.5,1.0,0,0,2021,Sassuolo
24,2023-02-25,20:45,Serie A,Matchweek 24,Sat,Away,W,1,0,Lecce,1.1,1.2,58.0,23760.0,Andrea Consigli,4-3-3,Niccolò Baroni,Match Report,,7.0,3.0,13.3,1.0,0,0,2021,Sassuolo
25,2023-03-06,18:30,Serie A,Matchweek 25,Mon,Home,W,3,2,Cremonese,1.0,1.2,54.0,11587.0,Andrea Consigli,4-3-3,Francesco Fourneau,Match Report,,13.0,7.0,19.7,1.0,0,0,2021,Sassuolo
26,2023-03-12,18:00,Serie A,Matchweek 26,Sun,Away,W,4,3,Roma,3.5,1.5,46.0,60816.0,Gian Marco Ferrari,4-3-3,Michael Fabbri,Match Report,,18.0,9.0,17.1,2.0,1,1,2021,Sassuolo
27,2023-03-17,18:30,Serie A,Matchweek 27,Fri,Home,W,1,0,Spezia,2.0,0.7,45.0,11152.0,Gian Marco Ferrari,4-3-3,Davide Ghersini,Match Report,,14.0,5.0,21.3,0.0,1,1,2021,Sassuolo
28,2023-04-03,20:45,Serie A,Matchweek 28,Mon,Home,D,1,1,Torino,1.1,1.7,48.0,12896.0,Gian Marco Ferrari,4-3-3,Ivan Pezzuto,Match Report,,12.0,4.0,19.8,1.0,0,0,2021,Sassuolo
29,2023-04-08,18:30,Serie A,Matchweek 29,Sat,Away,L,1,2,Hellas Verona,1.8,0.5,60.0,23660.0,Andrea Consigli,4-3-3,Francesco Fourneau,Match Report,,17.0,5.0,16.0,0.0,0,0,2021,Sassuolo
30,2023-04-16,18:00,Serie A,Matchweek 30,Sun,Home,W,1,0,Juventus,0.9,1.1,41.0,19566.0,Andrea Consigli,4-3-3,Antonio Rapuano,Match Report,,11.0,4.0,15.0,0.0,0,0,2021,Sassuolo
